"Name","Date","Open","High","Low","Close","Volume","OI"
SET,19761208,80.76,80.76,80.76,80.76,271520,0
SET,19761209,80.59,80.59,80.59,80.59,122740,0
SET,19761213,80.77,80.77,80.77,80.77,222660,0
SET,19761214,80.44,80.44,80.44,80.44,104250,0
SET,19761215,80.48,80.48,80.48,80.48,116390,0
SET,19761216,80.54,80.54,80.54,80.54,94870,0
SET,19761217,80.49,80.49,80.49,80.49,229230,0
SET,19761220,80.48,80.48,80.48,80.48,73740,0
SET,19761221,80.86,80.86,80.86,80.86,256760,0
SET,19761222,81.52,81.52,81.52,81.52,192700,0
SET,19761223,81.74,81.74,81.74,81.74,141930,0
SET,19761224,82.55,82.55,82.55,82.55,500230,0
SET,19761227,82.76,82.76,82.76,82.76,450090,0
SET,19761228,82.72,82.72,82.72,82.72,160660,0
SET,19761229,82.40,82.40,82.40,82.40,221830,0
SET,19761230,82.69,82.69,82.69,82.69,253850,0
SET,19770104,82.48,82.48,82.48,82.48,91500,0
SET,19770105,82.75,82.75,82.75,82.75,114010,0
SET,19770106,82.76,82.76,82.76,82.76,223100,0
SET,19770107,83.76,83.76,83.76,83.76,387090,0
SET,19770110,83.74,83.74,83.74,83.74,576670,0
SET,19770111,84.24,84.24,84.24,84.24,689920,0
SET,19770112,85.13,85.13,85.13,85.13,1061860,0
SET,19770113,86.27,86.27,86.27,86.27,716510,0
SET,19770114,86.46,86.46,86.46,86.46,1045190,0
SET,19770117,86.65,86.65,86.65,86.65,988940,0
SET,19770118,86.58,86.58,86.58,86.58,781270,0
SET,19770119,86.56,86.56,86.56,86.56,609420,0
SET,19770120,86.16,86.16,86.16,86.16,308450,0
SET,19770121,85.83,85.83,85.83,85.83,499150,0
SET,19770124,85.99,85.99,85.99,85.99,252290,0
SET,19770125,86.06,86.06,86.06,86.06,706360,0
SET,19770126,86.01,86.01,86.01,86.01,377800,0
SET,19770127,86.19,86.19,86.19,86.19,428510,0
SET,19770128,87.52,87.52,87.52,87.52,583930,0
SET,19770131,87.55,87.55,87.55,87.55,538810,0
SET,19770201,87.93,87.93,87.93,87.93,942370,0
SET,19770202,87.60,87.60,87.60,87.60,1207970,0
SET,19770203,87.86,87.86,87.86,87.86,741130,0
SET,19770204,87.60,87.60,87.60,87.60,889900,0
SET,19770207,87.51,87.51,87.51,87.51,307570,0
SET,19770208,87.57,87.57,87.57,87.57,337960,0
SET,19770209,87.74,87.74,87.74,87.74,196630,0
SET,19770210,87.12,87.12,87.12,87.12,621030,0
SET,19770211,87.85,87.85,87.85,87.85,355680,0
SET,19770214,88.01,88.01,88.01,88.01,481920,0
SET,19770215,88.55,88.55,88.55,88.55,327560,0
SET,19770216,88.94,88.94,88.94,88.94,1130950,0
SET,19770217,88.89,88.89,88.89,88.89,813290,0
SET,19770221,89.43,89.43,89.43,89.43,974160,0
SET,19770222,89.40,89.40,89.40,89.40,620980,0
SET,19770223,89.58,89.58,89.58,89.58,957450,0
SET,19770224,89.62,89.62,89.62,89.62,1491990,0
SET,19770225,90.26,90.26,90.26,90.26,819130,0
SET,19770228,89.95,89.95,89.95,89.95,654830,0
SET,19770301,89.83,89.83,89.83,89.83,1292210,0
SET,19770302,90.11,90.11,90.11,90.11,1870620,0
SET,19770303,90.55,90.55,90.55,90.55,2738290,0
SET,19770307,90.56,90.56,90.56,90.56,1292700,0
SET,19770308,90.54,90.54,90.54,90.54,590770,0
SET,19770309,90.41,90.41,90.41,90.41,929790,0
SET,19770310,89.41,89.41,89.41,89.41,1212250,0
SET,19770311,89.70,89.70,89.70,89.70,1524980,0
SET,19770314,89.70,89.70,89.70,89.70,2232850,0
SET,19770315,89.43,89.43,89.43,89.43,2742940,0
SET,19770316,89.40,89.40,89.40,89.40,1942550,0
SET,19770317,89.84,89.84,89.84,89.84,914620,0
SET,19770318,89.90,89.90,89.90,89.90,1135020,0
SET,19770321,89.82,89.82,89.82,89.82,738750,0
SET,19770322,90.89,90.89,90.89,90.89,1241480,0
SET,19770323,91.19,91.19,91.19,91.19,2249130,0
SET,19770324,91.64,91.64,91.64,91.64,2879970,0
SET,19770325,92.02,92.02,92.02,92.02,2162170,0
SET,19770328,92.60,92.60,92.60,92.60,1120750,0
SET,19770329,92.94,92.94,92.94,92.94,1663080,0
SET,19770330,93.88,93.88,93.88,93.88,1568580,0
SET,19770331,97.68,97.68,97.68,97.68,3645990,0
SET,19770401,97.65,97.65,97.65,97.65,4003060,0
SET,19770404,98.24,98.24,98.24,98.24,2271970,0
SET,19770405,98.61,98.61,98.61,98.61,3132350,0
SET,19770407,100.34,100.34,100.34,100.34,2437640,0
SET,19770408,101.93,101.93,101.93,101.93,4641070,0
SET,19770411,105.71,105.71,105.71,105.71,4652080,0
SET,19770412,110.54,110.54,110.54,110.54,4835180,0
SET,19770414,113.60,113.60,113.60,113.60,4596670,0
SET,19770415,115.86,115.86,115.86,115.86,4220870,0
SET,19770418,115.52,115.52,115.52,115.52,5214550,0
SET,19770419,112.15,112.15,112.15,112.15,3437780,0
SET,19770420,105.42,105.42,105.42,105.42,2984500,0
SET,19770421,106.42,106.42,106.42,106.42,2956340,0
SET,19770422,107.12,107.12,107.12,107.12,2278180,0
SET,19770425,107.04,107.04,107.04,107.04,2956110,0
SET,19770426,105.34,105.34,105.34,105.34,3061540,0
SET,19770427,102.49,102.49,102.49,102.49,1843660,0
SET,19770428,99.78,99.78,99.78,99.78,1960380,0
SET,19770429,101.24,101.24,101.24,101.24,2886430,0
SET,19770503,102.36,102.36,102.36,102.36,1783690,0
SET,19770504,102.97,102.97,102.97,102.97,1619390,0
SET,19770506,103.60,103.60,103.60,103.60,1150120,0
SET,19770509,104.61,104.61,104.61,104.61,1249050,0
SET,19770510,104.68,104.68,104.68,104.68,1612650,0
SET,19770511,104.39,104.39,104.39,104.39,1270900,0
SET,19770512,104.43,104.43,104.43,104.43,1018830,0
SET,19770513,104.11,104.11,104.11,104.11,586800,0
SET,19770516,103.37,103.37,103.37,103.37,793570,0
SET,19770517,103.12,103.12,103.12,103.12,1357680,0
SET,19770518,103.06,103.06,103.06,103.06,602260,0
SET,19770519,103.31,103.31,103.31,103.31,1016330,0
SET,19770520,103.55,103.55,103.55,103.55,819300,0
SET,19770523,103.61,103.61,103.61,103.61,486890,0
SET,19770524,103.85,103.85,103.85,103.85,371540,0
SET,19770525,103.83,103.83,103.83,103.83,597600,0
SET,19770526,104.54,104.54,104.54,104.54,1794850,0
SET,19770527,104.24,104.24,104.24,104.24,2088030,0
SET,19770530,103.90,103.90,103.90,103.90,644720,0
SET,19770531,104.15,104.15,104.15,104.15,1025710,0
SET,19770602,104.70,104.70,104.70,104.70,722320,0
SET,19770603,105.12,105.12,105.12,105.12,1144690,0
SET,19770606,105.83,105.83,105.83,105.83,1109080,0
SET,19770607,105.76,105.76,105.76,105.76,1265170,0
SET,19770608,106.64,106.64,106.64,106.64,2195220,0
SET,19770609,106.48,106.48,106.48,106.48,2715650,0
SET,19770610,107.80,107.80,107.80,107.80,1625000,0
SET,19770613,106.70,106.70,106.70,106.70,1509850,0
SET,19770614,106.92,106.92,106.92,106.92,1460960,0
SET,19770615,107.31,107.31,107.31,107.31,1270130,0
SET,19770616,107.49,107.49,107.49,107.49,1672330,0
SET,19770617,107.63,107.63,107.63,107.63,1577080,0
SET,19770620,107.92,107.92,107.92,107.92,1162480,0
